,country,pincode,locality,state,district,city,latitude,longitude,Clusters,1st Most Frequent Venue,2nd Most Frequent Venue,3rd Most Frequent Venue,4th Most Frequent Venue,5th Most Frequent Venue,6th Most Frequent Venue,7th Most Frequent Venue,8th Most Frequent Venue,9th Most Frequent Venue,10th Most Frequent Venue
50193,IN,560074,Ramohalli,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50194,IN,560074,Kumbalgodu Gollahalli,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50195,IN,560075,Jeevanbhimanagar,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50196,IN,560075,New Thippasandra,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50197,IN,560075,Jeevabhimanagar,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50198,IN,560076,Bannerghatta Road,Karnataka,Bangalore,Bangalore South,12.8939,77.5978,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Department Store,Café,Chinese Restaurant,Pizza Place,Burger Joint,South Indian Restaurant,Liquor Store
50199,IN,560076,Mico Layout,Karnataka,Bangalore,Bangalore South,12.9106,77.6001,4,Indian Restaurant,Clothing Store,Multiplex,Café,Coffee Shop,Bookstore,Pub,Dessert Shop,Shopping Mall,Fast Food Restaurant
50200,IN,560076,Mount St Joseph,Karnataka,Bangalore,Bangalore South,12.8939,77.5978,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Department Store,Café,Chinese Restaurant,Pizza Place,Burger Joint,South Indian Restaurant,Liquor Store
50201,IN,560076,Hulimavu,Karnataka,Bangalore,Bangalore,12.8771,77.5956,4,Clothing Store,Multiplex,Café,Movie Theater,Electronics Store,Fast Food Restaurant,Snack Place,Department Store,Ice Cream Shop,Indian Restaurant
50202,IN,560076,Bilekahalli,Karnataka,Bangalore,Bangalore South,12.8939,77.5978,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Department Store,Café,Chinese Restaurant,Pizza Place,Burger Joint,South Indian Restaurant,Liquor Store
50203,IN,560076,JP Nagar VIII phase,Karnataka,Bangalore,Bangalore South,12.8939,77.5978,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Department Store,Café,Chinese Restaurant,Pizza Place,Burger Joint,South Indian Restaurant,Liquor Store
50204,IN,560077,Kothanur,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50205,IN,560077,Dr. Shivarama Karanth Nagar,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50206,IN,560077,Doddagubbi,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50207,IN,560078,Yelachenahalli,Karnataka,Bangalore,Bangalore South,12.902000000000001,77.5709,4,Pizza Place,Zoo,Diner,Fast Food Restaurant,Farmers Market,Event Service,Electronics Store,Donut Shop,Dive Bar,Dessert Shop
50208,IN,560078,Kumaraswamy Layout,Karnataka,Bangalore,Bangalore South,12.9057,77.5617,4,Sandwich Place,Ice Cream Shop,Burger Joint,Movie Theater,Food Truck,Café,Breakfast Spot,Donut Shop,Farmers Market,Event Service
50209,IN,560078,J P Nagar,Karnataka,Bangalore,Bangalore South,12.9038,77.5663,4,Juice Bar,Burger Joint,Food Truck,Breakfast Spot,Dive Bar,Fast Food Restaurant,Farmers Market,Event Service,Electronics Store,Donut Shop
